Computer_Description,Selling_Price
Shop on eBay,$20.00
Dell Business Desktop Computer 3.1GHz Windows 10 Pro 22in LCD 8GB 1TB HDD Wi-Fi,$139.95 to $280.99
"Dell OR HP Desktop PC Computer Dual C 500GB 4GB DUAL 19"" LCD WiFi Windows 10 Pro",$179.99
"Dell i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | Windows 10 Pro | WiFi BT",$99.45 to $343.40
"Dell i5 Mini Computer PC | up to 16GB RAM, 1TB SSD | Windows 10 | WiFi Bluetooth",$105.40 to $351.90
HP Desktop Computer Windows 11 16GB 1TB Bluetooth DVD+RW WiFi (FULLY LOADED),$399.00
Fast HP Desktop Computer 3.0GHz 8GB RAM 500GB HD PC Windows 10 WiFi DVD,$129.99
Dell Computer PC Desktop 8GB Ram 500GB HD Intel Quad Core i5 3.10GHz Windows 10 ,$149.99
"Dell i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | Windows 10 Pro | WiFi BT",$164.90
"Dell i5 Mini Computer PC | up to 16GB RAM, 1TB SSD | Windows 10 | WiFi Bluetooth",$258.40
"Dell Gaming Desktop Computer PC Tower Core i5 16GB 2TB HD/SSD 22"" LCD Windows 10",$184.95
Dell Desktop Computer 500GB HD 8GB RAM Core I3 DVD WiFi Windows 10 PC LCD bundle,$140.00
"Dell Desktop i7 8GB RAM 500GB HDD Intel Computer PC Windows 10 Home 19"" LCD WiFi",$107.99
"HP All In One 23"" Widescreen PC 8GB 2TB Core I5 Desktop Computer Webcam Win 10",$286.00
"HP i7 Desktop Computer PC | up to 32GB RAM, 3TB SSD | Windows 10 or 11 | WiFi BT",$177.65
"HP i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | 22"" LCD Windows 11 or 10",$177.65
Clearance HP Desktop Computer 16GB RAM 2TB HDD 250GB SSD WiFi Windows 10 Pro PC,$99.00 to $290.00
"Dell Gaming Desktop Computer PC Tower Core i5 16GB 2TB HD/SSD 22"" LCD Windows 10",$184.95 to $359.95
Dell Desktop Computer 500GB HD 8GB RAM Core I3 DVD WiFi Windows 10 PC LCD bundle,$140.00
Dell Optiplex 7010 Business Desktop Computer 16GB RAM 2TB HDD USB 3.0 Win 10 Pro,$219.99
DELL Optiplex Desktop Computer i7-8700 Up to 32GB DDR4 1TB NVMe M.2 SSD Win10Pro,$210.56 to $740.99
HP Computer Desktop Windows 11 8GB 1TB Bluetooth DVD+RW WiFi HDMI (FULLY LOADED),$349.00
"HP i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | 22"" LCD Windows 11 or 10",$135.15 to $470.90
"Dell Desktop i7 8GB RAM 500GB HDD Intel Computer PC Windows 10 Home 19"" LCD WiFi",$107.99
"Dell i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | Windows 7 or 10 | WiFi",$99.45 to $343.40
HP Desktop Computer WINDOWS 11 32GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED),$499.00
"HP All In One 23"" Computer Core I5 8GB RAM 256GB 1TB 2TB SSD or HDD Windows 10",$270.00 to $319.00
"Dell Desktop Computers Intel Core i3 16GB 2TB HD 512GB SSD Windows 10 PC 22"" LCD",$149.00 to $329.00
"HP OR DELL Desktop PC 8GB 500GB HDD 19"" LCD Monitor WiFi Windows 10 Warranty",$139.99
Lenovo Desktop All In One Computer PC Intel i3-6100 8GB Ram 256GB SSD Win 10 Pro,$299.99
Dell Inspiron 3252 Desktop Computer 4GB 500GB DVDRW WiFi BT Windows 10 PC,$99.99
HP ELITE Desktop Computer Dual Core 8GB RAM 500GB HD PC Windows 10 WiFi,$119.99
"HP or Dell Desktop Computer 16GB 2TB 512GB SSD Core i5 Windows 10 PC 24"" 22"" LCD",$144.99 to $409.99
Custom Dell Desktop Computer up to 16GB 2TB HDD | 512 SSD CORE I3 Win10 Pro LCD,$115.00 to $260.00
"HP All In One 23"" Widescreen PC 8GB 2TB Core I5 Desktop Computer Webcam Win 10",$286.00
HP Desktop i7 Computer PC Intel Core 16GB RAM 500GB HDD Windows 10 Home Wi-Fi,$131.23
New ListingBrand New Raspberry Pi 4 Model B 2GB RAM Computer Confirmed Order,$109.99
Discount Dell Optiplex PC Desktop Computer Intel I5 up to 16GB RAM 500GB SSD Win,$99.99 to $299.99
"Dell Desktop Computer Core i5 8GB RAM 1TB HD Windows 10 PC 19"" LCD Monitor WIFI",$139.99
"Dell Desktop Computer 16GB 2TB, 512GB SSD Wi-Fi Core i5 Windows 10 PC New 24""LCD",$177.99 to $412.99
"Fast Dell Desktop Core i5 Computer 8GB RAM 500GB HD Windows 10 Home PC 19"" LCD",$133.91
Custom Gaming Desktop PC RGB Tempered Glass Intel i7 Quad 8GB 1TB Nvidia K620 2G,$389.00
"HP i7 Desktop Computer PC | up to 32GB RAM, 3TB SSD | Windows 10 or 11 | WiFi BT",$177.65 to $534.65
"FAST Dell Windows 10 Desktop Computer Core 2 Duo 4GB Ram DVD WiFi 19"" LCD",$117.00
"HP 22 21.5"" (1TB, AMD Ryzen 3, 8GB) All-In-One Computer (br)",$450.00
Fast Dell Slim Tower Computer PC Intel Core 2 Duo 4GB RAM 250GB HD Windows 10,$93.00
HP - Dell Desktop PC Computer Dual Core 8GB RAM DUAL 19 LCDs 1TB WiFi Windows 10,$224.99
"Dell OptiPlex Desktop Computer 4GB 500GB Core 2 Duo Windows 10 PC 17"" LCD WIFI",$149.95
Periphio Portal Gaming PC Desktop Computer Custom Tower Intel i5 16GB RAM Nvidia,$524.99
HP ProDesk 600 G1 Mini Desktop Computer Quad Core i5 16GB New 1TB SSD Win10 Pro,$199.99
"HP Computer with 24"" Monitor WIN11 8GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED)",$479.00
Dell Desktop Computer I7 3770 3.4ghz Quad Core SSD + 500GB HD 16GB RAM Win10 SFF,$279.95
"Gaming PC RGB Desktop Computer AMD Ryzen 5, GTX 1060, 16GB, 240GB SSD, 2TB WiFi",$799.99
Dell Optiplex 9020 SFF PC Core i7 4th Gen 16GB RAM 256GB SSD Hard Drive Win 10,$225.00
"DELL Desktop Computer 16GB 2TB 480GB SSD Quad Core i5 Windows 11 Pro PC 22"" LCD",$154.95 to $327.95
Windows 11 Pro Mini PC Intel J4125 Quad Core 2.7GHz 8GB RAM DDR4 128GB SSD GK3V,$179.95
"Custom Dell Desktop Computer 16GB 2TB 512 SSD Core I5 Windows 10 PC 19"" 22"" LCD",$145.00 to $350.00
"HP Computer TOUCHSCREEN All in One 24"" WIN 11 16GB 256GB WEBCAM (FULLY LOADED)",$659.00
Dell Optiplex 7050 Tower Computer i7-7700 3.6Ghz 8GB Ram 256GB HD WIN 10,$330.00
"Dell or hp Desktop PC Computer Core 16GB DUAL 22"" LCD Monitor SSD/HDD Win 10 Pro",$279.99
Dell i5 Desktop Tower Computer Windows 10 PC Intel Core 8GB RAM 1TB HD Wi-Fi,$114.99
"HP Desktop Computer๐ฉ32GB 2TB SSD Quad Core i7 ๐ฉWin 10 Pro PC 24"" Dual LCD WIFI",$289.43 to $732.97
"HP desktop computer 19"" LCD Windows 7 Dual Core 3.6GHz 250GB Wi-Fi 4GB Desktop",$119.99
"Dell LCD Desktop Computer PC 8GB RAM 1TB Dual 20"" Monitor Windows 10 Home WiFi",$94.99
Dell Core i5 Desktop Computer 16GB RAM 2TB 512GB SSD 22in LCD Windows 10 Pro PC,$109.95 to $393.69
Dell i5 Desktop 16GB RAM 500GB HD Intel Computer PC Windows 10 Professional WiFi,$109.99
"Dell i5 6500 Desktop Computer PC | up to 32GB RAM, 3TB SSD | Windows 11 or 10",$177.65 to $534.65
Dell 9020 i5 Gaming Computer PC 16GB 1TB 256GB M.2SSD AMD RX 550 4GB WiFi Win 10,$219.99 to $419.99
New ListingHP i7 Desktop SSD Intel Quad Core 16GB RAM 512GB SSD Computer Windows 10 Pro PC ,$204.99
HP Desktop i7 Computer PC Intel Core Desktop 8GB RAM 1TB HDD Windows 10 Pro WiFi,$114.99
Custom Desktop Gaming Capable Dell Computer Up to 16gb Ram 500gb Ssd 2gb I5 PC,$190.99 to $588.99
Dell Latitude Business Laptop Core i5 16GB Ram 256GB SSD Windows 10 Pro WiFi,$249.95
Dell Gaming PC Xeon Computer Nvidia GT 1030 16GB 500GB 128GB SSD Windows 10 Pro,$275.95
Windows 11 Pro Dell OptiPlex Dual Core 1TB 8GB RAM WiFi BT Desktop Computer PC,$180.99
Dell i5 Desktop Computer PC 7010 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 10,$99.00 to $350.00
Periphio Portal Gaming PC Desktop Computer Custom Tower Intel i5 16GB RAM SSD HD,$369.99
HP Gaming Desktop Computer 16GB RAM 1TB HDD Nvidia GT1030 Windows 10 Core I5 PC,$350.00
New ListingHP 800 G3 ELITEDESK SFF PC COMPUTER i5-6500 3.2Ghz 8GB RAM tested!,$124.99
New ListingLenovo Thinkcentre M73 Tiny Computer i5-4590T 4GB Ram 500GB HDD Win 10 Pro,$50.00
Dell Optiplex 7060 SFF Desktop 6-Core i7-8700 3.2GHz 16GB DDR4 512GB M.2 SSD W10,$529.00
Win 10 Pro Dell Gaming PC Computer i5 3.4ghz 8GB 16GB 1000GB HDD GTX 1650 ,$119.99 to $382.99
Dell i5 Desktop Computer PC 7040 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 11,$150.00 to $530.00
"HP Desktop Computer ProDesk Windows 10 PC 16GB 500GB HDD NEW SSD Dual LCD 22""",$155.96 to $240.00
HP Desktop Computer Windows 11 8GB 1TB Bluetooth WiFi DVD+RW HDMI (FULLY LOADED),$349.00
Shop on eBay,$20.00
Dell i5 Desktop Computer PC Intel Core 8GB RAM 128GB SSD Windows 10 Pro Wi-Fi,$99.99
"HP Desktop Computer PC Intel Core 2 Duo 4GB HD Windows 10 w/ 19"" LCD WIFI",$125.99
HP Desktop i7 Computer PC Intel Quad Core 8GB RAM 128GB SSD Windows 10 Pro Wi-Fi,$119.99
"HP Windows 10 Desktop Computer PC Intel Core i5 8GB RAM 256GB SSD 19"" LCD Wi-Fi",$119.99
"Alarco Gaming PC Desktop Computer Intel i5 ,8G,1Tb,Win10,WIFI,NVIDIA GTX 650 1GB",$449.00
Intel NUC NUC6i3SYK 64GB 4GB RAM Mini computer,$100.00
Dell i7 Desktop Computer PC 7010 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 10,$170.00 to $670.00
HP Desktop 16GB RAM 128GB SSD Windows 10 Computer Tower PC Intel Core Wi-Fi,$134.99
New ListingDell 9020 Tower Computer i3 3.9Ghz 8GB 1TB HDD DVD-RW WiFi Windows 10 Home,$198.50
"Dell Desktop Computer QUAD CORE i5 WINDOWS 11 Pro PC 16GB 2TB 480GB SSD 22""LCD",$139.72 to $399.84
HP EliteDesk 800 G2 Desktop Mini PC Computer Barebones 35W NO CPU/RAM/HDD/AC,$30.00
"Gaming HP Desktop SFF Computer i5 PC 16GB 1TB AMD RX 550 4GB 24"" LCD Wi-Fi Win10",$227.99 to $473.99
"Desktop Computer PC Windows XP PRO SP3 32bit,Serial 9PIN & Parallel Port 2GB RAM",$89.99
"HP Elite 6005 Desktop Computer PC 3GHz 8GB RAM 250GB HDD Windows 10 17"" Monitor ",$112.99
HP Desktop Computer PC | i7-6700 | 32GB RAM | 1TB SSD + 3TB HDD | Windows 11 Pro,$569.49
Desktop Computer PC Windows 7 Full Size Tower or SFF w/ DVDRW 4GB Ram 250GB HDD,$69.99
"Dell Desktop i7 Computer Windows 10 Pro PC 16GB RAM 256GB SSD 19"" LCD Wi-Fi",$144.99 to $357.49
Dell Desktop Tower Computer PC i7 4th Gen 3.9Ghz 16GB RAM 2TB HDD DVD WiFi Win10,$279.99 to $339.99
FAST Custom Lenovo PC i7 | Windows 10 PRO | 1TB SSD 16GB RAM | Mini Desktop PC,$209.99 to $549.99
Lenovo ThinkCentre M600 Tiny Mini PC Desktop Computer Intel Pentium Win10 Pro,$126.99 to $264.99
⭐️ Raspberry Pi 4 Model B 2GB RAM Computer - New / Sealed ⭐️,$129.98
Lenovo PC up to Intel I7 16GB RAM 500GB SSD Win 10 ThinkCentre Desktop Computer,$149.99 to $369.99
WINDOWS 11 PC Dell Core i5 3.20GHz Desktop Computer PC HDMI DP VGA WiFi ,$209.99 to $360.99
New ListingDell 9020 Tower Computer i3 3.9Ghz 16GB 1TB HDD DVD-RW WiFi Windows 10 Home,$246.99
Dell Precision 3420 Desktop Intel Core i5 16gb Ram 500gb SSD Windows 10 Pro WiFi,$299.99
Windows XP Desktop computer CPU Dell Optiplex 4GB ram 250GB Fast Duo Core 32 bit,$118.89
Dell Desktop Computer PC | Intel i5 Quad Core | 16GB RAM | 3TB HDD | Windows 10,$229.49
"HP Desktop Intel Core i3 Computer 8GB RAM 500GB HD Windows 10 PC 19"" LCD WIFI",$189.95
HP Desktop Computer FAST Core 2 Duo 2.66 4GB RAM 160GB DVD WiFi Windows 10 64bit,$109.95
"DELL OPTIPLEX COMPUTER SFF I5 6TH GEN 16GB 2TB 2 X 22"" WIDE LCD WIN 10 PRO WIFI",$177.00 to $589.00
"HP Desktop 16GB RAM Windows 10 Home PC Intel i3 Computer 256GB SSD 22"" LCD Wi-Fi",$135.95
Windows PC Dell Pro Tower Desktop Computer Core 2 Duo Up to 8GB 1TB HD 22in LCD,$99.95 to $239.95
HP DC6000 COMPUTER DUAL CORE 2.8GHZ 250GB 2GB WINDOWS XP FREE SHIP! M6000-XP2,$64.99
Dell Desktop computer PC  **  WIFI **  755 780 2.93GHz 250GB windows xp 32 bit,$119.89
Dell Core I5 HDMI WiFI 4GB 250GB Windows 10 Desktop Computer 1 Year Warranty,$126.00
"Dell SFF Desktop Computer PC Core i3 4GB Ram 500GB 19"" LCD Wi-Fi Speakers Win 10",$209.99
Dell OptiPlex 9020 SFF PC Intel Core i5 4590 8GB 500GB HDD Win 10 Pro- Good,$149.99
"HP 22"" Full-HD TOUCHSCREEN AMD 3.50GHz 1TB HDD 8GB Ram DVD+R All-in-One Computer",$444.22
HP Prodesk Computer Desktop up to Intel i7 16GB RAM 500GB SSD Windows 10 Pro PC,$149.99 to $579.99
HP Gaming Computer PC 16GB 2TB 512GB SSD Nvidia GT1030 Graphics Win 10 Desktop,$279.00 to $409.00
HP J5N50UT Chromebox 4GB RAM 16GB Intel Celeron 2955U Mini PC Desktop Computer,$69.99
New ListingHP Pavilion Desktop 590-p0066 i5-8400 2.80GHz 12GB RAM 1TB HDD Win11P,$299.99
Dell Gaming Desktop Computer Nvidia GT 1030 16GB 1TB 512Gb SSD Windows 10 PC,$269.00 to $399.00
New ListingDell Optiplex 3070 i5-8500T 8GB 256GB SSD Wifi + Bluetooth. Antenna included. ,$239.99
New ListingDell 9020 Tower Computer i7 3.9Ghz 4GB 500GB HDD DVD-RW WiFi Windows 10 Home,$190.50
Gaming PC Desktop Computer RGB i7 Intel 2TB HDD 16GB RAM GTX 1060 Nvidia,$729.99
"Dell Gaming Tower Computer MT Nvidia GT 730 4GB, i5, WiFi, 16GB 128GB SSD + 2TB",$319.99
Dell Desktop i7 Computer PC SFF Intel Core 8GB RAM 1TB HD Windows 10 Home Wi-Fi,$159.99
New ListingDell OptiPlex 9010 Computer Core i5 3470 3.2GHz 8GB RAM 256 GB SSD PC,$65.00
New ListingDell 9020 Tower Computer i7 3.9Ghz 16GB 500GB HDD DVD-RW WiFi Windows 10 Home,$260.95
"HP Pro Computer Desktop PC Core i5 3.2GHz 8GB 1TB New 22"" LCD WiFi Windows10 Pro",$339.99
Dell i7 Desktop Computer PC 7040 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 11,$270.00 to $650.00
HP All in One Computer 24 WINDOWS 11 16GB 512GB Bluetooth WEBCAM (FULLY LOADED),$659.00
New ListingDell Precision 3420 Desktop Intel Core i5 16gb Ram 250gb M.2 SSD Win 10 Pro WiFi,$299.99
HP All-in-One Computer 22” Full-HD Display Intel 3.20GHz 4GB 256GB SSD Drive BT,$377.44
"HP Desktop i7 Computer PC Intel Core 8GB RAM 500GB HDD 19"" LCD Windows 10 Wi-Fi",$134.99
Dell Computer PC Desktop 8GB Ram 500GB HD Intel Quad Core i5 3.10GHz Windows 10 ,$149.99
New ListingHP Pavilion P6-2136 Desktop Computer 2.2GHz 6GB RAM 500GB HDD Windows 10 Home,$65.00
Dell PC i5 Desktop Computer Tower 3.20GHz 8GB RAM 1TB HD Windows 10 Pro Wi-Fi,$134.99
Dell XPS 8940 i7-11700 16Gb RAM 512GB SSD+1TB HDD WiFi (Integrated Graphics),$689.00
AMD Quad Core 4GB DVDRW Windows XP PC Computer 32 bit w/Parallel Serial PCI,$399.99
Dell Windows 10 Desktop Computer PC Intel Quad-Core i5 8GB RAM 256GB SSD WiFi BT,$134.99
Skytech Archangel Gaming PC Computer Intel Core i5 10400F 2.9 GHz RTX 3060,"$1,099.99"
New ListingDell OptiPlex 3040 SFF PC Intel i5-6500 3.20GHz 8GB 500GB NO/OS Computer Desktop,$149.99
Dell OptiPlex 7040M Micro Form Factor Tower 2.5GHz Core i5 8GB RAM No HD SSD,$139.99
"Windows 11  Desktop Computer, Dell 7010 PC i5 3.4GHz, 8GB RAM, 500GB, Wi-Fi, GPU",$159.00
HP Desktop Computer WINDOWS 11 PRO 32GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED),$549.00
Intel STCK1A8LFC 8GB PC Compute Stick with Linux,$20.00
